world-universities copy,Name,web_pages,url_status_codes,all_urls_valid
CO,Centro de Estudios Investigación y Tecnología (CEIT),https://www.iceit.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Colegio de Estudios Superiores de Administración (CESA),https://www.cesa.edu.co/,[200],TRUE
CO,Conservatorio del Tolima,https://www.bundenet.com/umusical/,['ERROR: ConnectionError'],FALSE
CO,"Corporación Educativa Mayor del Desarrollo ""Simón Bolivar""",https://www.unisimonbolivar.edu.co/,['ERROR: ConnectTimeout'],FALSE
CO,Corporación Universitaria de Ibagué (CORUNIVERSITARIA),https://www.cui.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Corporación Universitaria de la Costa (UNICOSTA),https://www.cuc.edu.co/,[200],TRUE
CO,Corporación Universitaria de Santander (UDES),https://www.udes.edu.co/,[200],TRUE
CO,Corporación Universitaria Tecnológica de Bolivar,https://www.cutb.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Escuela Colombiana de Carreras Industriales,https://www.ecci.edu.co/,[200],TRUE
CO,Escuela Colombiana de Ingeniería Julio Garavito,https://www.escuelaing.edu.co/,[200],TRUE
CO,Escuela de Administración de Negocios,https://www.ean.edu.co/,['ERROR: SSLError'],FALSE
CO,Escuela de Ingeniería de Antioquia,https://www.eia.edu.co/,[200],TRUE
CO,"Escuela de Policia ""General Santander""",https://www.escueladepolicia.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Escuela Superiore de Administración Pública,https://www.esap.edu.co/,[200],TRUE
CO,Fundacion Escuela Colombiana de Rehabiliación,https://www.ecr.edu.co/,[200],TRUE
CO,Fundación Universitaria de Boyacá,https://www.uniboyaca.edu.co/,[200],TRUE
CO,Fundación Universitaria del Area Andina. Sede Pereira,https://www.funandi.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Fundación Universitaria Luis Amigó,https://www.funlam.edu.co/,[200],TRUE
CO,Fundación Universitaria Manuela Beltrán,https://www.umb.edu.co/,[200],TRUE
CO,Fundación Universitaria San Martín,https://www.sanmartin.edu.co/,[200],TRUE
CO,Institucion Universitaria de Envigado,https://www.iue.edu.co/,[200],TRUE
CO,Institución Universitaria Iberoamericana,https://www.iberoamericana.edu.co/,['ERROR: SSLError'],FALSE
